0.000000000000000000e+00 4.018588839999999782e-05 1.572892030000000094e-03
0.000000000000000000e+00 1.077417410000000044e-04 3.532931420000000062e-03
0.000000000000000000e+00 1.800750450000000095e-04 5.482481969999999580e-03
0.000000000000000000e+00 2.581095050000000064e-04 7.486286669999999907e-03
0.000000000000000000e+00 3.359584480000000237e-04 9.424996090000000229e-03
0.000000000000000000e+00 4.196369489999999809e-04 1.144458209999999962e-02
0.000000000000000000e+00 5.025644450000000055e-04 1.341337480000000075e-02
0.000000000000000000e+00 5.883494350000000516e-04 1.540226090000000082e-02
0.000000000000000000e+00 6.737367250000000050e-04 1.736126630000000073e-02
0.000000000000000000e+00 7.610704810000000053e-04 1.933509980000000170e-02
0.000000000000000000e+00 8.481272280000000168e-04 2.128057049999999839e-02
0.000000000000000000e+00 9.388683340000000040e-04 2.328913770000000036e-02
0.000000000000000000e+00 1.027952859999999979e-03 2.523826399999999984e-02
0.000000000000000000e+00 1.121071200000000028e-03 2.725597089999999903e-02
0.000000000000000000e+00 1.211743109999999929e-03 2.920086950000000056e-02
